t_end,latency_ms,cache_hit
1756718845.746314,30.977,0
1756718845.746347,31.004,0
1756718845.750353,35.015,0
1756718845.750367,35.018,0
1756718845.785535,35.092,0
1756718845.785568,35.150,0
1756718845.785594,35.172,0
1756718845.785604,35.177,0
1756718845.820252,34.543,0
1756718845.820271,34.549,0
1756718845.820293,34.564,0
1756718845.820306,34.589,0
1756718845.853548,33.165,0
1756718845.853572,33.183,0
1756718845.853585,33.191,0
1756718845.853869,33.468,0
1756718845.886886,32.941,0
1756718845.886913,32.951,0
1756718845.886935,32.985,0
1756718845.886964,33.008,0
1756718845.922226,35.141,0
1756718845.922347,35.253,0
1756718845.922417,35.344,0
1756718845.922459,35.372,0
1756718845.953749,30.928,0
1756718845.954042,31.259,0
1756718845.957385,34.671,0
1756718845.957814,35.067,0
1756718845.991745,33.524,0
1756718845.993374,35.071,0
1756718845.993435,35.110,0
1756718845.993487,35.227,0
1756718846.027641,33.874,0
1756718846.027668,33.873,0
1756718846.027829,34.009,0
1756718846.028025,34.179,0
1756718846.063203,35.041,0
1756718846.063256,35.110,0
1756718846.063282,35.115,0
1756718846.063297,35.125,0
1756718846.098535,35.095,0
1756718846.098594,35.142,0
1756718846.098633,35.209,0
1756718846.098656,35.213,0
1756718846.134018,35.183,0
1756718846.134084,35.221,0
1756718846.134121,35.249,0
1756718846.134153,35.301,0
1756718846.169077,34.361,0
1756718846.169228,34.480,0
1756718846.169305,34.534,0
1756718846.169340,34.552,0
1756718846.204667,34.941,0
1756718846.204944,35.190,0
1756718846.205076,35.305,0
1756718846.205215,35.532,0
1756718846.238702,33.023,0
1756718846.238732,32.995,0
1756718846.238765,33.009,0
1756718846.238789,33.019,0
1756718846.270662,31.713,0
1756718846.270739,31.784,0
1756718846.270980,32.016,0
1756718846.271268,32.297,0
1756718846.303668,32.010,0
1756718846.303787,32.161,0
1756718846.303884,32.214,0
1756718846.305224,33.642,0
1756718846.337108,31.533,0
1756718846.338692,32.964,0
1756718846.340837,35.151,0
1756718846.340872,35.092,0
1756718846.372774,31.614,0
1756718846.374130,32.943,0
1756718846.374196,32.991,0
1756718846.374243,33.020,0
1756718846.409753,35.185,0
1756718846.409839,35.240,0
1756718846.409891,35.271,0
1756718846.409930,35.292,0
1756718846.442408,32.202,0
1756718846.445925,35.686,0
1756718846.446015,35.763,0
1756718846.446063,35.794,0
1756718846.476917,30.397,0
1756718846.478386,31.939,0
1756718846.478606,32.127,0
1756718846.478662,32.117,0
1756718846.514150,35.057,0
1756718846.514284,35.107,0
1756718846.514451,35.247,0
1756718846.514565,35.521,0
1756718846.550415,34.774,0
1756718846.550529,34.860,0
1756718846.550640,34.948,0
1756718846.550717,35.006,0
1756718846.586236,35.154,0
1756718846.586328,35.224,0
1756718846.586368,35.242,0
1756718846.586406,35.259,0
1756718846.620247,33.520,0
1756718846.620297,33.529,0
1756718846.620313,33.567,0
1756718846.621127,34.441,0
1756718846.656217,34.976,0
1756718846.656244,35.017,0
1756718846.656274,35.032,0
1756718846.656287,35.041,0
1756718846.691442,35.040,0
1756718846.691471,35.082,0
1756718846.691498,35.093,0
1756718846.691518,35.107,0
1756718846.726651,35.035,0
1756718846.726681,35.074,0
1756718846.726710,35.085,0
