t_end,latency_ms,cache_hit
1756718636.681567,5.747,0
1756718636.681709,5.936,0
1756718636.681812,6.078,0
1756718636.681868,6.074,0
1756718636.688232,5.871,0
1756718636.688344,6.199,0
1756718636.688444,6.163,0
1756718636.688568,6.358,0
1756718636.694896,5.702,0
1756718636.694972,5.718,0
1756718636.695088,5.926,0
1756718636.695144,6.005,0
1756718636.701509,5.873,0
1756718636.701731,5.905,0
1756718636.701901,6.139,0
1756718636.702004,6.201,0
1756718636.708090,5.694,0
1756718636.708169,5.757,0
1756718636.708190,5.811,0
1756718636.708266,5.926,0
1756718636.714672,5.828,0
1756718636.714745,5.885,0
1756718636.714769,5.998,0
1756718636.714801,5.927,0
1756718636.721243,6.140,0
1756718636.721295,6.128,0
1756718636.721316,6.128,0
1756718636.721333,6.127,0
1756718636.727794,5.965,0
1756718636.727854,6.042,0
1756718636.727918,6.151,0
1756718636.727942,6.213,0
1756718636.733402,5.181,0
1756718636.733485,5.184,0
1756718636.733560,5.275,0
1756718636.733587,5.316,0
1756718636.740003,5.999,0
1756718636.740200,6.248,0
1756718636.740272,6.284,0
1756718636.740315,6.300,0
1756718636.746781,5.230,0
1756718636.746901,5.373,0
1756718636.746962,5.657,0
1756718636.746999,5.520,0
1756718636.753467,6.120,0
1756718636.753561,6.189,0
1756718636.753587,6.182,0
1756718636.753651,6.258,0
