t_end,latency_ms,cache_hit
1756718861.761883,35.192,0
1756718861.761907,35.208,0
1756718861.761921,35.217,0
1756718861.761931,35.237,0
1756718861.797134,35.107,0
1756718861.797159,35.120,0
1756718861.797176,35.126,0
1756718861.797189,35.144,0
1756718861.830532,33.262,0
1756718861.830561,33.269,0
1756718861.830585,33.286,0
1756718861.830605,33.317,0
1756718861.860826,30.126,0
1756718861.860862,30.142,0
1756718861.860898,30.171,0
1756718861.862306,31.571,0
1756718861.897620,35.174,0
1756718861.897663,35.193,0
1756718861.897695,35.199,0
1756718861.897713,35.230,0
1756718861.897869,0.023,1
1756718861.897879,0.006,1
1756718861.897892,0.011,1
1756718861.897900,0.005,1
1756718861.933105,35.127,0
1756718861.933136,35.136,0
1756718861.933154,35.162,0
1756718861.933185,35.179,0
1756718861.968358,35.065,0
1756718861.968382,35.072,0
1756718861.968399,35.083,0
1756718861.968415,35.091,0
1756718862.003528,35.002,0
1756718862.003555,35.008,0
1756718862.003573,35.012,0
1756718862.003593,35.040,0
1756718862.003767,0.033,1
1756718862.003782,0.009,1
1756718862.003792,0.006,1
1756718862.003802,0.006,1
1756718862.004012,0.030,1
1756718862.004024,0.007,1
1756718862.004034,0.007,1
1756718862.004044,0.007,1
1756718862.036914,32.730,0
1756718862.036976,32.757,0
1756718862.036999,32.790,0
1756718862.039314,35.075,0
1756718862.070217,30.736,0
1756718862.070254,30.729,0
1756718862.070280,30.774,0
1756718862.070314,30.800,0
1756718862.070599,0.042,1
1756718862.070617,0.011,1
1756718862.070631,0.010,1
1756718862.070645,0.009,1
1756718862.103768,32.950,0
1756718862.103926,33.080,0
1756718862.104004,33.150,0
1756718862.105541,34.534,0
1756718862.137286,30.199,0
1756718862.142150,35.136,0
1756718862.142182,35.065,0
1756718862.142208,35.058,0
1756718862.179984,37.611,0
1756718862.180051,37.648,0
1756718862.180102,37.688,0
1756718862.180135,37.710,0
1756718862.180383,0.051,1
1756718862.180403,0.012,1
1756718862.180420,0.011,1
1756718862.180436,0.011,1
1756718862.180692,0.049,1
1756718862.180710,0.012,1
1756718862.180726,0.011,1
1756718862.180742,0.010,1
1756718862.180991,0.047,1
1756718862.181013,0.011,1
1756718862.181029,0.011,1
1756718862.181045,0.010,1
1756718862.181303,0.046,1
1756718862.181322,0.012,1
1756718862.181338,0.010,1
1756718862.181354,0.010,1
1756718862.181593,0.048,1
1756718862.181611,0.012,1
1756718862.181627,0.011,1
1756718862.181643,0.010,1
1756718862.217610,35.792,0
1756718862.217689,35.852,0
1756718862.217752,35.904,0
1756718862.217797,35.937,0
1756718862.250238,32.065,0
1756718862.251622,33.545,0
1756718862.251730,33.608,0
1756718862.251811,33.673,0
1756718862.284531,32.259,0
1756718862.286894,34.539,0
1756718862.286979,34.589,0
1756718862.287050,34.625,0
1756718862.287888,0.120,1
1756718862.287936,0.030,1
1756718862.287976,0.027,1
1756718862.288014,0.026,1
1756718862.288622,0.120,1
1756718862.288670,0.030,1
1756718862.288709,0.026,1
1756718862.288745,0.024,1
1756718862.289094,0.057,1
1756718862.289119,0.015,1
1756718862.289139,0.013,1
1756718862.289168,0.013,1
1756718862.289530,0.058,1
1756718862.289552,0.015,1
1756718862.289571,0.013,1
