t_end,latency_ms,cache_hit
1756718643.796774,5.297,0
1756718643.796870,5.356,0
1756718643.797077,5.707,0
1756718643.797213,5.806,0
1756718643.803540,5.215,0
1756718643.803797,5.674,0
1756718643.804012,5.663,0
1756718643.804144,5.876,0
1756718643.810071,5.160,0
1756718643.810157,5.262,0
1756718643.810481,5.656,0
1756718643.810628,5.751,0
1756718643.810979,0.034,1
1756718643.810997,0.007,1
1756718643.811007,0.006,1
1756718643.811017,0.006,1
1756718643.816757,5.518,0
1756718643.816812,5.528,0
1756718643.816843,5.546,0
1756718643.816909,5.639,0
1756718643.823328,5.954,0
1756718643.823505,6.197,0
1756718643.823602,6.257,0
1756718643.823672,6.313,0
1756718643.830174,6.159,0
1756718643.830303,6.211,0
1756718643.830388,6.280,0
1756718643.830421,6.346,0
1756718643.836764,5.939,0
1756718643.836933,6.236,0
1756718643.837014,6.249,0
1756718643.837190,6.346,0
1756718643.843159,5.463,0
1756718643.843262,5.611,0
1756718643.843398,5.822,0
1756718643.843432,5.764,0
1756718643.844076,0.077,1
1756718643.844100,0.013,1
1756718643.844117,0.010,1
1756718643.844133,0.010,1
1756718643.849993,5.320,0
1756718643.850209,5.438,0
1756718643.850275,5.530,0
1756718643.850314,5.591,0
1756718643.850809,0.030,1
1756718643.850824,0.008,1
1756718643.850835,0.006,1
1756718643.850844,0.006,1
