t_end,latency_ms,cache_hit
1757266050.773579,0.008,0
1757266050.773597,0.011,0
1757266050.773603,0.003,0
1757266050.773613,0.007,0
1757266050.773632,0.017,0
1757266050.773657,0.022,0
1757266050.773678,0.020,0
1757266050.773687,0.007,0
1757266050.773707,0.018,0
1757266050.773715,0.006,0
1757266050.773734,0.017,0
1757266050.773741,0.006,0
1757266050.773747,0.004,0
1757266050.773754,0.006,0
1757266050.773774,0.018,0
1757266050.773782,0.006,0
1757266050.773788,0.004,0
1757266050.773796,0.006,0
1757266050.773808,0.010,1
1757266050.773814,0.004,1
1757266050.773820,0.004,0
1757266050.773827,0.005,0
1757266050.773833,0.004,0
1757266050.773840,0.004,1
1757266050.773859,0.018,0
1757266050.773867,0.007,0
1757266050.773886,0.018,0
1757266050.773894,0.006,0
1757266050.773915,0.019,0
1757266050.773923,0.007,0
1757266050.773942,0.018,0
1757266050.773950,0.006,0
1757266050.773984,0.032,0
1757266050.773990,0.003,1
1757266050.774009,0.018,0
1757266050.774017,0.006,0
1757266050.774037,0.017,0
1757266050.774042,0.003,1
1757266050.774061,0.018,0
1757266050.774068,0.006,0
1757266050.774088,0.018,0
1757266050.774096,0.006,0
1757266050.774102,0.004,0
1757266050.774109,0.006,0
1757266050.774129,0.017,0
1757266050.774136,0.006,0
1757266050.774142,0.004,0
1757266050.774152,0.009,0
1757266050.774173,0.019,0
1757266050.774178,0.003,1
1757266050.774197,0.018,0
1757266050.774206,0.007,0
1757266050.774215,0.008,1
1757266050.774220,0.003,1
1757266050.774229,0.007,1
1757266050.774233,0.003,1
1757266050.774239,0.004,0
1757266050.774246,0.006,0
1757266050.774256,0.007,1
1757266050.774260,0.003,1
1757266050.774280,0.018,0
1757266050.774285,0.003,1
1757266050.774294,0.008,1
1757266050.774298,0.003,1
1757266050.774318,0.018,0
1757266050.774326,0.007,0
1757266050.774335,0.008,1
1757266050.774339,0.003,1
1757266050.774373,0.032,0
1757266050.774381,0.006,0
1757266050.774401,0.017,0
1757266050.774408,0.006,0
1757266050.774427,0.017,0
1757266050.774436,0.007,0
1757266050.774442,0.005,0
1757266050.774449,0.006,0
1757266050.774458,0.008,1
1757266050.774463,0.003,1
1757266050.774472,0.008,1
1757266050.774476,0.003,1
1757266050.774485,0.007,1
1757266050.774490,0.002,1
1757266050.774498,0.007,1
1757266050.774503,0.003,1
1757266050.774522,0.018,0
1757266050.774530,0.006,0
1757266050.774536,0.005,0
1757266050.774545,0.007,0
1757266050.774551,0.005,0
1757266050.774556,0.003,1
1757266050.774562,0.005,0
1757266050.774566,0.003,1
1757266050.774572,0.005,0
1757266050.774580,0.006,0
1757266050.774586,0.005,0
1757266050.774590,0.003,1
1757266050.774596,0.005,0
1757266050.774603,0.006,0
1757266050.774622,0.017,0
1757266050.774629,0.006,0
1757266050.774648,0.016,0
1757266050.774655,0.006,0
1757266050.774663,0.007,1
1757266050.774668,0.003,1
1757266050.774674,0.005,0
1757266050.774681,0.005,0
1757266050.774687,0.004,0
1757266050.774694,0.005,0
1757266050.774713,0.018,0
1757266050.774721,0.006,0
1757266050.774740,0.018,0
1757266050.774745,0.002,1
1757266050.774764,0.018,0
1757266050.774772,0.007,0
1757266050.774777,0.004,0
1757266050.774782,0.002,1
1757266050.774801,0.017,0
1757266050.774808,0.006,0
1757266050.774827,0.017,0
1757266050.774834,0.005,0
1757266050.774843,0.007,1
1757266050.774848,0.002,1
1757266050.774853,0.004,0
1757266050.774860,0.005,0
1757266050.774866,0.005,0
1757266050.774888,0.020,0
1757266050.774907,0.018,0
1757266050.774914,0.005,0
1757266050.774933,0.018,0
1757266050.774942,0.008,0
1757266050.774963,0.019,0
1757266050.774967,0.003,1
1757266050.774987,0.018,0
1757266050.774992,0.002,1
1757266050.775011,0.018,0
1757266050.775018,0.006,0
1757266050.775027,0.007,1
1757266050.775031,0.003,1
1757266050.775037,0.004,0
1757266050.775044,0.006,0
1757266050.775064,0.018,0
1757266050.775068,0.003,1
1757266050.775088,0.019,0
1757266050.775092,0.003,1
1757266050.775114,0.020,0
1757266050.775121,0.006,0
1757266050.775140,0.017,0
1757266050.775149,0.007,0
1757266050.775168,0.017,0
1757266050.775173,0.002,1
1757266050.775191,0.017,0
1757266050.775199,0.006,0
1757266050.775218,0.018,0
1757266050.775225,0.006,0
1757266050.775246,0.019,0
1757266050.775268,0.020,0
1757266050.775274,0.005,0
1757266050.775281,0.005,0
1757266050.775301,0.018,0
1757266050.775308,0.006,0
1757266050.775314,0.005,0
1757266050.775321,0.006,0
1757266050.775340,0.018,0
1757266050.775348,0.007,0
1757266050.775367,0.018,0
1757266050.775375,0.006,0
1757266050.775394,0.018,0
1757266050.775403,0.007,0
1757266050.775423,0.018,0
1757266050.775430,0.006,0
1757266050.775439,0.008,1
1757266050.775443,0.003,1
1757266050.775452,0.007,1
1757266050.775457,0.003,1
1757266050.775475,0.017,0
1757266050.775483,0.006,0
1757266050.775488,0.004,0
1757266050.775496,0.006,0
1757266050.775502,0.005,0
1757266050.775506,0.002,1
1757266050.775525,0.017,0
1757266050.775533,0.006,0
1757266050.775539,0.004,0
1757266050.775547,0.006,0
1757266050.775567,0.019,0
1757266050.775576,0.008,0
1757266050.775585,0.007,1
1757266050.775589,0.003,1
1757266050.775595,0.005,0
1757266050.775599,0.002,1
1757266050.775620,0.019,0
1757266050.775625,0.002,1
1757266050.775645,0.018,0
1757266050.775649,0.003,1
1757266050.775669,0.018,0
1757266050.775676,0.006,0
1757266050.775685,0.007,1
1757266050.775689,0.003,1
1757266050.775695,0.004,0
1757266050.775716,0.019,0
1757266050.775725,0.007,1
1757266050.775731,0.002,1
1757266050.775739,0.007,1
1757266050.775744,0.003,1
1757266050.775762,0.017,0
1757266050.775767,0.003,1
1757266050.775787,0.019,0
1757266050.775794,0.006,0
1757266050.775813,0.017,0
1757266050.775817,0.003,1
1757266050.775826,0.007,1
1757266050.775830,0.003,1
1757266050.775848,0.016,0
1757266050.775856,0.005,0
1757266050.775861,0.004,0
1757266050.775870,0.008,0
1757266050.775889,0.018,0
1757266050.775894,0.002,1
1757266050.775913,0.018,0
1757266050.775922,0.008,0
1757266050.775931,0.007,1
1757266050.775935,0.003,1
1757266050.775954,0.017,0
1757266050.775962,0.007,0
1757266050.775968,0.004,0
1757266050.775976,0.007,0
1757266050.775996,0.018,0
1757266050.776003,0.006,0
1757266050.776009,0.005,0
1757266050.776013,0.003,1
1757266050.776019,0.004,0
1757266050.776023,0.003,1
1757266050.776029,0.005,0
1757266050.776033,0.003,1
1757266050.776052,0.017,0
1757266050.776059,0.006,0
1757266050.776078,0.018,0
1757266050.776085,0.005,0
1757266050.776093,0.007,1
1757266050.776098,0.003,1
1757266050.776105,0.005,0
1757266050.776111,0.005,0
1757266050.776120,0.007,1
1757266050.776124,0.003,1
1757266050.776143,0.018,0
1757266050.776147,0.002,1
1757266050.776156,0.007,1
1757266050.776160,0.003,1
1757266050.776180,0.018,0
1757266050.776187,0.006,0
1757266050.776195,0.007,1
1757266050.776200,0.003,1
1757266050.776206,0.005,0
1757266050.776210,0.003,1
1757266050.776215,0.004,0
1757266050.776222,0.005,0
1757266050.776229,0.004,0
1757266050.776233,0.003,1
1757266050.776267,0.032,0
1757266050.776274,0.006,0
1757266050.776280,0.004,0
1757266050.776288,0.005,0
1757266050.776306,0.017,0
1757266050.776315,0.008,0
