t_end,latency_ms,cache_hit
1757264917.536565,0.055,0
1757264917.536667,0.065,0
1757264917.536693,0.012,0
1757264917.536752,0.047,0
1757264917.536834,0.069,0
1757264917.536890,0.043,0
1757264917.537018,0.117,0
1757264917.537056,0.026,0
1757264917.537124,0.058,0
1757264917.537159,0.024,0
1757264917.537242,0.072,0
1757264917.537276,0.023,0
1757264917.537303,0.017,0
1757264917.537337,0.023,0
1757264917.537405,0.058,0
1757264917.537438,0.023,0
1757264917.537464,0.017,0
1757264917.537498,0.023,0
1757264917.537547,0.037,1
1757264917.537572,0.015,1
1757264917.537614,0.032,0
1757264917.537646,0.023,0
1757264917.537674,0.017,0
1757264917.537698,0.014,1
1757264917.537781,0.072,0
1757264917.537816,0.025,0
1757264917.537895,0.068,0
1757264917.537929,0.024,0
1757264917.537999,0.060,0
1757264917.538032,0.023,0
1757264917.538105,0.062,0
1757264917.538138,0.024,0
1757264917.538216,0.068,0
1757264917.538243,0.015,1
1757264917.540254,2.000,0
1757264917.540317,0.047,0
1757264917.540394,0.066,0
1757264917.540420,0.016,1
1757264917.540494,0.063,0
1757264917.540528,0.024,0
1757264917.540598,0.061,0
1757264917.540647,0.038,0
1757264917.540674,0.017,0
1757264917.540707,0.024,0
1757264917.540776,0.060,0
1757264917.540810,0.024,0
1757264917.540838,0.018,0
1757264917.540884,0.037,0
1757264917.540960,0.066,0
1757264917.540985,0.015,1
1757264917.541061,0.066,0
1757264917.541096,0.025,0
1757264917.541136,0.030,1
1757264917.541160,0.014,1
1757264917.541198,0.030,1
1757264917.541221,0.014,1
1757264917.541249,0.016,0
1757264917.541282,0.023,0
1757264917.541358,0.066,1
1757264917.541396,0.013,1
1757264917.541488,0.081,0
1757264917.541512,0.014,1
1757264917.541551,0.029,1
1757264917.541574,0.013,1
1757264917.541647,0.064,0
1757264917.541695,0.036,0
1757264917.541737,0.032,1
1757264917.541760,0.013,1
1757264917.541835,0.066,0
1757264917.541868,0.023,0
1757264917.579939,38.060,0
1757264917.580019,0.220,0
1757264917.580041,0.228,0
1757264917.580073,0.247,1
1757264917.580088,0.255,1
1757264917.580110,0.162,1
1757264917.580128,0.344,0
1757264917.580142,0.118,1
1757264917.580169,0.362,0
1757264917.580187,0.367,0
1757264917.580208,0.129,1
1757264917.580228,0.134,1
1757264917.580257,0.141,1
1757264917.580309,0.135,0
1757264917.580332,0.286,1
1757264917.580353,0.161,0
1757264917.580376,0.144,1
1757264917.580393,0.127,0
1757264917.580422,0.289,0
1757264917.580437,0.290,0
1757264917.580456,0.141,1
1757264917.580472,0.135,0
1757264917.580490,0.133,0
1757264917.580511,0.129,0
1757264917.580524,0.126,1
1757264917.580540,0.113,0
1757264917.580557,0.116,0
1757264917.580586,0.110,0
1757264917.580604,0.392,0
1757264917.580623,0.108,0
1757264917.580646,0.101,1
1757264917.580681,0.119,0
1757264917.580728,0.268,0
1757264917.580769,0.274,0
1757264917.580811,0.282,1
1757264917.580848,0.198,0
1757264917.580892,0.158,0
1757264917.580911,0.135,1
1757264917.580926,0.317,0
1757264917.580942,0.315,0
1757264917.580979,0.163,0
1757264917.581006,0.316,0
1757264917.581028,0.438,0
1757264917.581072,0.140,0
1757264917.581122,0.140,0
1757264917.581153,0.256,0
1757264917.581167,0.252,1
1757264917.581191,0.244,0
1757264917.581210,0.199,0
1757264917.581231,0.378,0
